tripID,timestamp,vehicleID,origLatitude,origLongitude,shapeID,routeID,plannedTripID,correctedLatitude,correctedLongitude,distance,angle
152277828,2020-02-27 08:23:28,2404,45.668647,-122.63645,11,6,1399,45.66864667541254,-122.63650974083792,4.645587777441294,-1.0
152277828,2020-02-27 08:23:33,2404,45.669457,-122.636468,11,6,1399,45.66945635543518,-122.63652582269229,4.496863808899289,-1.0
152277828,2020-02-27 08:23:38,2404,45.67028300000001,-122.63652,11,6,1399,45.67028271971838,-122.63654434654045,1.8934435217861003,-1.0
152277828,2020-02-27 08:23:43,2404,45.671032,-122.636537,11,6,1399,45.671031712428466,-122.63656197977687,1.9426906574088376,-1.0
152277828,2020-02-27 08:23:48,2404,45.671505,-122.63649,11,6,1399,45.671509509968125,-122.63652571445878,2.822075110104372,-1.0
152277828,2020-02-27 08:23:53,2404,45.67165,-122.63645,11,6,1399,45.67165463827448,-122.63647413143094,1.9460543180087928,-1.0
152277828,2020-02-27 08:23:58,2404,45.672047,-122.636267,11,6,1399,45.67205372351711,-122.63628974952265,1.9205101774389521,-1.0
152277828,2020-02-27 08:24:03,2404,45.67260200000001,-122.63582,11,6,1399,45.67262031174828,-122.6358519227568,3.210648150000103,-1.0
152277828,2020-02-27 08:24:08,2404,45.673142,-122.635048,11,6,1399,45.673164495277256,-122.63507108776844,3.0790413960021983,-1.0
152277828,2020-02-27 08:24:13,2404,45.673613,-122.63403999999998,11,6,1399,45.673637036589405,-122.63406187119035,3.1680625946149883,-1.0
152277828,2020-02-27 08:24:18,2404,45.674093,-122.63298,11,6,1399,45.67411439177471,-122.6330003984762,2.8591098350759965,-1.0
152277828,2020-02-27 08:24:23,2404,45.674588,-122.631903,11,6,1399,45.67461431539231,-122.63192801007023,3.5135803366959637,-1.0
152277828,2020-02-27 08:24:28,2404,45.67509,-122.630803,11,6,1399,45.67512278621349,-122.630834402409,4.3880168598355285,-1.0
152277828,2020-02-27 08:24:33,2404,45.675562,-122.629765,11,6,1399,45.675592650987596,-122.62979312974184,4.049901616851134,-1.0
152277828,2020-02-27 08:24:38,2404,45.676013,-122.628777,11,6,1399,45.67603825748803,-122.6288001798932,3.3372608743046444,-1.0
152277828,2020-02-27 08:24:43,2404,45.676453,-122.627812,11,6,1399,45.6764733444063,-122.6278306709448,2.688097526464647,-1.0
152277828,2020-02-27 08:24:48,2404,45.67687,-122.626893,11,6,1399,45.67689172472538,-122.62691333089994,2.887105965021913,-1.0
152277828,2020-02-27 08:24:53,2404,45.677312,-122.626165,11,6,1399,45.677334245788686,-122.6262060183071,4.036433057767893,-1.0
152277828,2020-02-27 08:24:58,2404,45.677802,-122.625735,11,6,1399,45.677822684236205,-122.62580816692592,6.136803518330983,-1.0
152277828,2020-02-27 08:25:03,2404,45.678203,-122.625567,11,6,1399,45.678213810864065,-122.62565052065365,6.604891822046289,-1.0
152277828,2020-02-27 08:25:08,2404,45.678458,-122.625523,11,6,1399,45.678460485560066,-122.62561068199652,6.823751985723739,-1.0
152277828,2020-02-27 08:26:08,2404,45.678538,-122.62552,11,6,1399,45.67853739091481,-122.62560719129878,6.780333688916876,-1.0
152277828,2020-02-27 08:26:13,2404,45.67882,-122.625525,11,6,1399,45.678819675984116,-122.62559906866936,5.759692426207727,-1.0
152277828,2020-02-27 08:26:18,2404,45.679245,-122.625528,11,6,1399,45.67924467247567,-122.6256028706874,5.8220585695007605,-1.0
152277828,2020-02-27 08:26:33,2404,45.679593,-122.625535,11,6,1399,45.6795926864115,-122.62560599837185,5.5209435205027075,-1.0
152277828,2020-02-27 08:26:38,2404,45.680095,-122.625553,11,6,1399,45.680094789414426,-122.62561027661215,4.453890922548876,-1.0
152277828,2020-02-27 08:26:43,2404,45.680807,-122.625557,11,6,1399,45.6808067277819,-122.62561651531088,4.628009571061488,-1.0
152277828,2020-02-27 08:26:48,2404,45.681538,-122.62556,11,6,1399,45.68153772674097,-122.625623332883,4.924858725236769,-1.0
